Origin,Destination,Passengers,Airtime
ORD,BOS,20473,17131
ORD,CLT,332,493
ORD,CLE,16135,6743
CVG,EWR,26,85
CLT,EWR,1511,1427
EWR,BUF,2182,1450
EWR,MCI,31,169
IAH,MAF,2836,2580
ORD,CVG,2688,1255
ORD,BHM,33,75
CHS,EWR,3788,3474
BNA,IAD,366,302
LAX,SFO,35675,16744
PSP,SFO,4290,3105
SRQ,EWR,2634,3274
BUF,EWR,2157,1233
IAH,PIT,1538,1793
EWR,ROC,1615,845
IAH,ATL,1428,1052
ORD,ABQ,793,2488
BOS,ORD,21293,24819
CHS,ORD,2262,2927
IAD,ORF,198,134
IAH,TUL,1958,1663
SMF,LAX,48,64
CLT,ORD,432,670
SFO,MFR,781,666
MEM,IAH,3207,3969
PIT,SJC,51,335
SJC,SFO,263,46
LAX,SAN,340,83
BNA,EWR,3433,3845
EWR,PSP,1975,9613
DEN,IAD,20720,20018
EWR,MTJ,1948,5143
IAD,BNA,198,321
SAV,IAD,54,67
ORF,IAD,217,111
RDU,EWR,5729,4793
DTW,EWR,55,69
EWR,RDU,6142,4771
IAD,PIT,842,456
IAH,SFO,34879,54682
LAX,LIH,2046,10186
ORD,EWR,33252,22099
LIH,LAX,2644,8063
RSW,ORD,14535,15871
EWR,CLT,1939,1742
ORD,IAD,9151,6345
CID,DEN,5241,5309
EWR,CHS,4082,4011
ORF,ORD,62,110
EWR,AUS,8863,16768
IAH,DFW,6247,2747
IND,ORD,228,77
SMF,ORD,6428,11089
IAH,CLT,2347,2783
SFO,MSP,65,164
TUL,IAH,2368,2056
IAH,SJC,3376,6469
IAD,SAT,3326,5626
ORD,ALB,3107,2447
ALB,LGA,67,70
ORD,DEN,39925,33218
EWR,DEN,25189,42649
MCI,ORD,1561,1396
ORD,DSM,5458,2632
RIC,IAH,71,186
EWR,IAD,6914,2780
SAN,LAX,158,40
BGR,SFO,73,364
BNA,IAH,3147,3693
DCA,EWR,74,86
JAC,SFO,75,124
ORD,IND,75,31
CLE,EWR,2346,1739
IAD,ATL,1796,2008
IAH,PSP,2198,4975
DEN,GRR,3130,3044
TPA,EWR,18981,17677
ABQ,IAH,2711,2877
DEN,CID,5012,4009
JAX,EWR,3745,4203
ORD,SAN,16142,26772
ORD,SAT,5042,8562
SFO,DFW,1026,1841
CLT,IAH,1098,1852
ORD,ROC,2024,1129
IAH,MEM,4074,3066
MFR,SFO,1433,812
IAH,RIC,81,129
MTJ,EWR,1395,3513
SEA,SFO,20452,18260
EWR,ORD,34618,30626
IAH,BNA,2676,2260
SJC,ORD,3141,5735
